Left,Satisfaction Level,Work Accident,Average Monthly Hours,Last Evaluation,Years in the Company,salary,Department,Number of Projects,Promoted in the last 5 years?,Date Hired
No,0.49,No,247,0.48,3,medium,RandD,4,No,2017-10-21T00:00:00Z
No,0.19,No,143,0.8,4,medium,RandD,6,No,2016-10-16T00:00:00Z
No,0.95,No,164,0.61,3,medium,RandD,3,No,2017-02-02T00:00:00Z
No,0.63,No,183,0.62,3,medium,RandD,3,No,2017-12-04T00:00:00Z
No,0.83,No,274,0.8,3,high,RandD,4,No,2017-09-17T00:00:00Z
No,0.62,No,261,0.78,2,low,marketing,4,No,2018-08-18T00:00:00Z
No,0.74,No,200,0.98,3,medium,sales,5,No,2017-05-21T00:00:00Z
No,0.7,No,177,0.87,2,medium,accounting,5,No,2018-10-29T00:00:00Z
No,0.28,No,139,0.38,4,medium,support,5,No,2016-08-28T00:00:00Z
No,0.39,No,228,0.56,5,medium,technical,6,No,2015-02-16T00:00:00Z
No,0.62,No,230,0.63,2,medium,management,3,No,2018-07-29T00:00:00Z
No,0.79,No,212,0.54,4,medium,marketing,5,No,2016-08-05T00:00:00Z
No,0.87,No,265,0.74,4,medium,marketing,4,No,2016-07-27T00:00:00Z
No,0.29,No,124,0.75,4,medium,marketing,3,No,2016-06-06T00:00:00Z
No,0.37,No,155,0.88,3,medium,sales,4,No,2017-03-23T00:00:00Z
No,0.68,No,215,0.55,4,high,sales,4,No,2016-05-14T00:00:00Z
No,0.9,No,214,0.51,2,low,sales,4,No,2018-10-05T00:00:00Z
No,0.97,No,181,0.65,3,low,sales,3,No,2017-01-29T00:00:00Z
No,0.6,No,229,0.77,2,low,sales,4,No,2018-01-10T00:00:00Z
No,0.58,No,262,0.79,2,high,sales,5,No,2018-02-01T00:00:00Z
No,0.83,No,165,0.86,3,low,sales,3,No,2017-05-06T00:00:00Z
No,0.83,No,136,0.73,3,low,sales,5,No,2017-02-14T00:00:00Z
No,0.69,No,226,0.9,4,high,sales,5,No,2016-08-10T00:00:00Z
No,0.81,No,215,0.81,2,low,sales,5,No,2018-01-08T00:00:00Z
No,0.58,No,271,0.63,3,low,sales,4,No,2017-06-22T00:00:00Z
No,0.76,No,220,0.65,3,low,sales,3,No,2017-10-20T00:00:00Z
No,0.26,No,182,0.47,4,low,sales,6,No,2016-07-11T00:00:00Z
No,0.78,No,190,0.87,3,low,sales,3,No,2017-11-05T00:00:00Z
No,0.71,No,198,0.56,3,medium,sales,3,No,2017-01-26T00:00:00Z
No,0.76,No,141,0.61,2,medium,sales,3,No,2018-01-13T00:00:00Z
No,0.44,No,248,0.81,2,medium,accounting,3,No,2018-08-02T00:00:00Z
No,0.26,No,168,0.69,5,medium,accounting,2,No,2015-12-25T00:00:00Z
No,0.75,No,162,0.57,3,medium,accounting,5,No,2017-01-13T00:00:00Z
No,0.64,No,211,0.9,3,medium,hr,4,No,2017-12-01T00:00:00Z
No,0.79,No,271,0.71,3,medium,hr,4,No,2017-09-03T00:00:00Z
No,0.96,No,271,0.61,2,medium,hr,3,No,2018-11-01T00:00:00Z
No,0.63,No,244,1,2,medium,hr,5,No,2018-03-11T00:00:00Z
No,0.76,No,225,0.81,3,medium,technical,3,No,2017-05-10T00:00:00Z
No,0.26,No,266,0.9,5,medium,technical,4,No,2015-12-17T00:00:00Z
No,0.74,No,233,0.77,3,low,technical,3,No,2017-10-25T00:00:00Z
No,0.53,No,180,0.45,3,medium,technical,4,No,2017-08-02T00:00:00Z
No,0.7,No,208,0.56,3,medium,technical,5,No,2017-12-27T00:00:00Z
No,0.71,No,221,0.68,4,medium,technical,4,No,2016-06-27T00:00:00Z
No,0.5,No,215,0.65,2,low,technical,3,No,2018-04-08T00:00:00Z
No,0.53,No,264,0.5,6,low,technical,6,No,2014-06-25T00:00:00Z
No,0.88,No,160,0.89,4,low,support,2,No,2016-07-11T00:00:00Z
No,0.79,No,192,0.83,3,low,support,2,No,2017-08-25T00:00:00Z
No,0.69,No,201,0.89,2,low,support,5,No,2018-12-09T00:00:00Z
No,0.57,No,264,0.96,2,low,support,4,No,2018-03-04T00:00:00Z
No,0.6,No,272,0.82,3,low,support,4,No,2017-05-01T00:00:00Z
No,0.7,No,216,0.9,3,low,support,4,No,2017-10-28T00:00:00Z
No,0.49,No,133,0.51,3,low,support,4,No,2017-07-11T00:00:00Z
No,0.74,No,260,0.7,2,low,support,4,No,2018-08-21T00:00:00Z
No,0.2,No,101,0.93,5,low,support,4,No,2015-03-02T00:00:00Z
No,0.57,No,230,0.5,2,low,technical,4,No,2018-12-17T00:00:00Z
No,0.83,No,242,0.48,4,low,technical,3,No,2016-05-05T00:00:00Z
No,0.22,No,193,0.64,2,low,technical,3,No,2018-05-22T00:00:00Z
No,0.67,No,234,0.57,4,low,management,2,No,2016-12-21T00:00:00Z
No,0.54,No,132,0.84,3,low,IT,3,No,2017-07-07T00:00:00Z
No,0.54,No,183,0.53,3,low,IT,4,No,2017-06-16T00:00:00Z
No,0.64,No,191,0.61,4,low,IT,4,No,2016-12-16T00:00:00Z
No,0.23,No,140,0.84,4,low,IT,5,No,2016-02-01T00:00:00Z
No,0.88,No,257,0.87,3,medium,IT,5,No,2017-12-09T00:00:00Z
No,0.83,No,219,0.54,3,medium,product_mng,4,No,2017-06-29T00:00:00Z
No,0.88,No,141,0.67,2,medium,product_mng,5,No,2018-04-15T00:00:00Z
No,0.9,No,162,0.85,2,medium,product_mng,5,No,2018-07-31T00:00:00Z
No,0.49,No,181,0.61,3,medium,product_mng,3,No,2017-01-07T00:00:00Z
No,0.55,No,191,0.49,3,medium,IT,3,No,2017-07-02T00:00:00Z
No,0.72,No,164,0.67,4,medium,RandD,3,No,2016-12-06T00:00:00Z
No,0.63,No,235,0.5,3,medium,RandD,4,No,2017-08-09T00:00:00Z
No,0.98,No,199,0.66,3,medium,RandD,3,No,2017-08-02T00:00:00Z
No,0.76,No,248,0.52,3,medium,RandD,3,No,2017-10-07T00:00:00Z
No,0.58,No,248,0.65,4,high,marketing,4,No,2016-01-28T00:00:00Z
No,0.67,No,241,0.95,4,medium,accounting,4,No,2016-09-10T00:00:00Z
No,0.58,No,258,1,3,medium,support,4,No,2017-12-25T00:00:00Z
No,0.56,No,149,0.68,2,medium,management,3,No,2018-04-02T00:00:00Z
No,0.63,No,217,0.83,3,low,marketing,4,No,2017-01-12T00:00:00Z
No,0.51,No,243,0.92,3,low,marketing,3,No,2017-08-06T00:00:00Z
No,0.95,No,120,0.81,3,low,marketing,5,No,2017-10-04T00:00:00Z
No,0.73,No,150,0.78,3,low,sales,5,No,2017-06-01T00:00:00Z
No,0.2,No,199,0.49,5,low,sales,5,No,2015-04-23T00:00:00Z
No,0.78,No,203,0.79,2,low,sales,3,No,2018-09-28T00:00:00Z
No,0.83,No,273,0.8,3,low,sales,3,No,2017-11-14T00:00:00Z
No,0.98,No,141,0.99,3,low,sales,5,No,2017-01-20T00:00:00Z
No,1,No,243,0.81,3,low,sales,5,No,2017-03-25T00:00:00Z
No,0.7,No,159,0.55,3,low,sales,4,No,2017-11-09T00:00:00Z
No,0.62,No,146,0.88,3,low,sales,5,No,2017-02-11T00:00:00Z
No,0.67,No,159,0.72,2,low,sales,4,No,2018-05-03T00:00:00Z
No,0.86,No,196,0.96,3,low,sales,4,No,2017-06-24T00:00:00Z
No,0.19,No,192,0.86,4,low,sales,4,No,2016-06-18T00:00:00Z
No,0.76,No,246,0.83,2,low,sales,4,No,2018-10-22T00:00:00Z
No,0.89,No,191,0.93,4,low,sales,5,No,2016-04-12T00:00:00Z
No,0.25,No,158,0.97,3,low,sales,3,No,2017-09-30T00:00:00Z
No,0.68,No,167,1,2,low,sales,4,No,2018-06-24T00:00:00Z
No,0.64,No,199,0.95,4,medium,accounting,4,No,2016-09-20T00:00:00Z
No,0.76,No,157,0.62,3,medium,accounting,4,No,2017-01-31T00:00:00Z
No,0.26,No,157,0.45,3,medium,accounting,2,No,2017-09-17T00:00:00Z
No,0.69,No,178,0.67,2,medium,hr,3,No,2018-02-21T00:00:00Z
No,0.98,No,154,0.66,2,medium,hr,3,No,2018-12-01T00:00:00Z
No,0.58,No,159,0.63,3,medium,technical,4,No,2017-10-03T00:00:00Z
No,0.63,No,234,0.97,2,medium,technical,4,No,2018-06-21T00:00:00Z
No,0.73,No,210,0.62,4,medium,technical,4,No,2016-07-18T00:00:00Z
No,0.89,No,164,0.52,3,high,technical,3,No,2017-07-12T00:00:00Z
No,0.86,No,259,0.73,2,medium,technical,5,No,2018-04-08T00:00:00Z
No,0.22,No,131,0.51,2,medium,technical,4,No,2018-10-17T00:00:00Z
No,0.55,No,266,0.57,2,medium,technical,3,No,2018-04-13T00:00:00Z
No,0.74,No,153,0.6,2,low,technical,3,No,2018-10-19T00:00:00Z
No,0.55,No,253,0.54,2,low,support,3,No,2018-09-14T00:00:00Z
No,0.64,No,199,0.8,3,low,support,3,No,2017-12-27T00:00:00Z
No,0.58,No,205,0.71,3,low,support,3,No,2017-01-05T00:00:00Z
No,0.9,No,252,0.6,3,low,support,4,No,2017-02-23T00:00:00Z
No,0.89,No,153,0.9,3,low,support,4,No,2017-11-04T00:00:00Z
No,0.74,No,171,0.37,4,low,support,2,No,2016-04-17T00:00:00Z
No,0.78,No,150,0.91,4,low,support,5,No,2016-01-15T00:00:00Z
No,0.97,No,247,0.53,3,low,support,4,No,2017-08-24T00:00:00Z
No,0.99,No,206,0.86,2,low,support,4,No,2018-02-18T00:00:00Z
No,0.69,No,164,0.96,3,low,technical,5,No,2017-10-06T00:00:00Z
No,0.59,No,186,0.69,3,low,technical,3,No,2017-09-22T00:00:00Z
No,0.95,No,249,0.63,3,low,management,3,No,2018-01-01T00:00:00Z
No,0.69,No,214,0.81,2,low,IT,3,No,2018-03-22T00:00:00Z
No,0.76,No,193,0.75,4,low,IT,4,No,2016-09-24T00:00:00Z
No,0.7,No,114,0.84,4,low,IT,2,No,2016-05-22T00:00:00Z
No,0.87,No,122,0.6,2,low,IT,2,No,2018-12-23T00:00:00Z
No,0.54,No,151,0.91,3,medium,product_mng,3,No,2017-05-12T00:00:00Z
No,0.55,No,156,0.75,3,medium,product_mng,3,No,2017-01-27T00:00:00Z
No,0.5,No,188,0.55,2,medium,product_mng,3,No,2018-07-23T00:00:00Z
No,0.64,No,254,0.5,6,medium,RandD,6,No,2014-01-18T00:00:00Z
No,0.57,No,206,0.78,4,medium,RandD,3,No,2016-05-15T00:00:00Z
No,0.95,No,216,0.74,3,medium,RandD,4,No,2017-03-24T00:00:00Z
No,0.86,No,200,0.67,3,medium,RandD,5,No,2017-12-17T00:00:00Z
No,0.82,No,202,0.58,2,medium,RandD,4,No,2018-04-19T00:00:00Z
No,0.18,No,217,0.79,4,medium,RandD,4,No,2016-06-03T00:00:00Z
No,0.58,No,151,0.7,4,medium,marketing,5,No,2016-09-06T00:00:00Z
No,0.57,No,224,0.56,2,high,sales,3,No,2018-03-29T00:00:00Z
No,0.94,No,148,0.83,3,low,accounting,5,No,2017-11-13T00:00:00Z
No,0.99,No,254,0.61,3,medium,marketing,3,No,2017-01-10T00:00:00Z
No,0.22,No,218,0.49,4,low,marketing,4,No,2016-01-29T00:00:00Z
No,0.67,No,237,0.66,3,low,marketing,3,No,2017-01-21T00:00:00Z
No,0.49,No,185,0.67,2,low,sales,4,No,2018-05-01T00:00:00Z
No,0.78,No,184,0.95,3,low,sales,4,No,2017-03-09T00:00:00Z
No,0.91,No,260,0.89,3,low,sales,4,No,2017-02-27T00:00:00Z
No,0.7,No,254,0.78,4,low,sales,4,No,2016-04-25T00:00:00Z
No,0.6,No,221,0.95,3,low,sales,3,No,2017-06-28T00:00:00Z
No,0.59,No,257,0.57,2,low,sales,5,No,2018-05-26T00:00:00Z
No,0.57,No,144,0.81,3,low,sales,3,No,2017-12-15T00:00:00Z
No,0.83,No,242,0.81,6,low,sales,3,No,2014-08-20T00:00:00Z
No,0.89,No,249,0.93,3,low,sales,4,No,2017-01-11T00:00:00Z
No,0.55,No,245,0.59,3,low,sales,3,No,2017-03-08T00:00:00Z
No,0.53,No,201,0.75,2,low,sales,4,No,2018-02-22T00:00:00Z
No,0.63,No,160,0.98,2,medium,sales,4,No,2018-03-22T00:00:00Z
No,0.61,No,153,0.97,3,medium,accounting,4,No,2017-02-12T00:00:00Z
No,0.76,No,197,0.79,5,medium,accounting,3,No,2015-02-20T00:00:00Z
No,0.67,No,246,0.82,4,medium,accounting,4,No,2016-11-11T00:00:00Z
No,0.51,No,258,0.95,3,medium,hr,4,No,2017-01-22T00:00:00Z
No,0.67,No,137,0.55,3,medium,hr,3,No,2017-02-12T00:00:00Z
No,0.16,No,178,0.94,4,medium,hr,3,No,2016-10-02T00:00:00Z
No,0.34,No,123,0.85,4,medium,hr,4,No,2016-11-29T00:00:00Z
No,0.5,No,210,0.71,5,medium,technical,5,No,2015-01-30T00:00:00Z
No,0.56,No,220,0.98,3,low,technical,3,No,2017-05-21T00:00:00Z
No,0.74,No,133,0.71,2,medium,technical,4,No,2018-12-03T00:00:00Z
No,0.69,No,198,0.99,2,medium,technical,3,No,2018-04-26T00:00:00Z
No,0.15,No,160,0.81,5,medium,technical,4,No,2015-04-08T00:00:00Z
No,0.58,No,180,0.67,2,medium,technical,2,No,2018-03-16T00:00:00Z
No,0.8,No,217,0.79,3,low,technical,3,No,2017-08-21T00:00:00Z
No,0.5,No,223,0.57,3,low,technical,3,No,2017-04-23T00:00:00Z
No,0.66,No,229,0.92,2,low,technical,4,No,2018-11-03T00:00:00Z
No,0.81,No,159,0.78,3,low,support,4,No,2017-04-20T00:00:00Z
No,0.14,No,253,0.68,5,low,support,5,No,2015-08-01T00:00:00Z
No,0.92,No,235,0.85,2,low,support,3,No,2018-11-20T00:00:00Z
No,0.69,No,186,0.91,3,low,support,4,No,2017-03-05T00:00:00Z
No,0.66,No,263,0.99,2,low,support,4,No,2018-09-06T00:00:00Z
No,0.85,No,239,0.39,4,low,support,4,No,2016-11-21T00:00:00Z
No,0.83,No,151,0.69,2,low,support,4,No,2018-10-09T00:00:00Z
No,1,No,106,0.49,4,low,support,3,No,2016-11-15T00:00:00Z
No,0.68,No,183,0.65,4,low,support,3,No,2016-11-14T00:00:00Z
No,0.26,No,125,0.97,2,low,support,3,No,2018-04-14T00:00:00Z
No,0.35,No,157,0.41,2,low,support,3,No,2018-04-03T00:00:00Z
No,0.12,No,241,0.58,2,low,technical,3,No,2018-03-06T00:00:00Z
No,0.91,No,184,0.93,3,low,technical,4,No,2017-05-07T00:00:00Z
No,0.65,No,144,0.67,3,low,technical,4,No,2017-10-08T00:00:00Z
No,0.61,No,261,0.82,4,low,IT,3,No,2016-02-16T00:00:00Z
No,0.64,No,207,0.51,2,low,IT,4,No,2018-05-21T00:00:00Z
No,0.58,No,205,0.73,4,low,IT,4,No,2016-03-10T00:00:00Z
No,0.26,No,139,0.81,4,medium,product_mng,5,No,2016-04-08T00:00:00Z
No,0.59,No,146,0.69,3,medium,product_mng,3,No,2017-06-25T00:00:00Z
No,0.78,No,175,0.8,3,medium,product_mng,4,No,2017-10-21T00:00:00Z
No,0.86,No,188,0.64,3,medium,product_mng,5,No,2017-06-03T00:00:00Z
No,0.79,No,155,0.73,3,medium,IT,5,No,2017-05-20T00:00:00Z
No,0.89,No,171,0.73,4,medium,RandD,4,No,2016-05-19T00:00:00Z
No,0.34,No,184,0.99,3,medium,RandD,4,No,2017-06-21T00:00:00Z
No,0.29,No,164,0.77,6,medium,RandD,3,No,2014-12-03T00:00:00Z
No,0.71,No,244,0.89,4,medium,RandD,3,No,2016-04-29T00:00:00Z
No,0.93,No,222,0.58,2,medium,RandD,4,No,2018-02-04T00:00:00Z
No,0.91,No,213,0.72,3,low,marketing,3,No,2017-02-26T00:00:00Z
No,0.71,No,144,0.96,4,medium,sales,4,No,2016-11-09T00:00:00Z
No,0.89,No,183,0.58,4,medium,technical,3,No,2016-01-21T00:00:00Z
No,0.15,No,219,0.89,6,low,marketing,3,No,2014-01-20T00:00:00Z
No,0.45,No,148,0.72,2,low,sales,3,No,2018-01-17T00:00:00Z
No,0.84,No,256,0.36,5,low,sales,6,No,2015-11-24T00:00:00Z
No,0.61,No,141,0.51,2,low,sales,3,No,2018-03-10T00:00:00Z
No,0.63,No,177,0.88,3,low,sales,3,No,2017-10-05T00:00:00Z
No,0.49,No,173,0.54,2,low,sales,4,No,2018-03-22T00:00:00Z
No,0.68,No,196,0.51,3,low,sales,2,No,2017-10-12T00:00:00Z
No,0.64,No,179,0.85,2,low,sales,5,No,2018-04-22T00:00:00Z
No,0.61,No,201,0.64,3,low,sales,4,No,2017-07-04T00:00:00Z
No,0.83,No,247,0.55,3,low,sales,5,No,2017-02-17T00:00:00Z
No,0.94,No,238,0.51,2,low,sales,5,No,2018-06-15T00:00:00Z
No,0.27,No,133,0.66,6,low,sales,3,No,2014-11-16T00:00:00Z
No,0.6,No,194,0.49,4,low,sales,2,No,2016-09-28T00:00:00Z
No,0.83,No,232,0.69,2,low,sales,4,No,2018-12-30T00:00:00Z
No,0.53,No,232,0.75,3,low,sales,3,No,2017-07-17T00:00:00Z
No,0.79,No,204,0.97,3,medium,sales,4,No,2017-07-20T00:00:00Z
No,0.5,No,164,0.56,3,medium,accounting,3,No,2017-07-06T00:00:00Z
No,0.68,No,266,0.81,2,medium,accounting,5,No,2018-03-22T00:00:00Z
No,0.8,No,252,0.8,6,medium,hr,4,No,2014-06-06T00:00:00Z
No,0.62,No,155,0.74,3,medium,hr,4,No,2017-04-11T00:00:00Z
No,1,No,202,0.85,2,medium,hr,3,No,2018-01-07T00:00:00Z
No,0.64,No,214,0.75,3,medium,hr,3,No,2017-05-09T00:00:00Z
No,0.51,No,267,0.55,3,medium,technical,4,No,2017-11-22T00:00:00Z
No,0.74,No,265,0.5,3,medium,technical,4,No,2017-01-31T00:00:00Z
No,0.96,No,132,0.83,6,high,technical,4,No,2014-12-14T00:00:00Z
No,0.84,No,234,0.57,3,medium,technical,4,No,2017-11-04T00:00:00Z
No,0.16,No,238,0.84,6,medium,technical,3,No,2014-12-14T00:00:00Z
No,0.79,No,152,0.67,3,medium,technical,4,No,2017-11-10T00:00:00Z
No,0.17,No,270,0.48,5,low,technical,6,No,2015-06-24T00:00:00Z
No,0.57,No,200,0.76,2,low,support,3,No,2018-04-08T00:00:00Z
No,0.65,No,207,0.82,2,low,support,4,No,2018-11-28T00:00:00Z
No,0.3,No,250,0.8,3,low,support,6,No,2017-03-14T00:00:00Z
No,0.99,No,220,0.92,3,low,support,3,No,2017-08-03T00:00:00Z
No,0.5,No,177,0.69,2,low,support,4,No,2018-06-30T00:00:00Z
No,0.54,No,147,0.96,2,medium,support,3,No,2018-01-18T00:00:00Z
No,0.69,No,227,0.57,4,medium,support,4,No,2016-02-11T00:00:00Z
No,0.5,No,272,0.85,2,medium,support,4,No,2018-12-03T00:00:00Z
No,0.66,No,244,0.73,3,medium,support,3,No,2017-08-02T00:00:00Z
No,0.65,No,184,0.49,4,medium,technical,4,No,2016-08-08T00:00:00Z
No,0.72,No,149,0.69,2,medium,management,4,No,2018-09-09T00:00:00Z
No,0.55,No,254,0.8,2,medium,IT,3,No,2018-02-14T00:00:00Z
No,0.6,No,249,0.58,3,medium,IT,4,No,2017-12-22T00:00:00Z
No,0.84,No,269,0.48,2,medium,IT,4,No,2018-01-30T00:00:00Z
No,0.68,No,168,0.87,3,medium,IT,3,No,2017-07-23T00:00:00Z
No,0.13,No,225,1,3,medium,product_mng,6,No,2017-04-28T00:00:00Z
No,0.88,No,160,0.98,2,medium,product_mng,3,No,2018-08-10T00:00:00Z
No,0.19,No,193,0.95,3,medium,product_mng,5,No,2017-06-29T00:00:00Z
No,0.44,No,250,0.74,6,medium,RandD,4,No,2014-08-17T00:00:00Z
No,0.52,No,243,0.55,2,medium,RandD,4,No,2018-09-06T00:00:00Z
No,0.66,No,250,0.62,2,medium,RandD,4,No,2018-08-19T00:00:00Z
No,0.96,No,153,0.55,3,medium,RandD,4,No,2017-03-02T00:00:00Z
No,0.86,No,192,1,3,high,marketing,3,No,2017-05-03T00:00:00Z
No,0.14,No,260,0.76,6,high,technical,5,No,2014-12-05T00:00:00Z
No,0.74,No,199,1,4,high,management,4,No,2016-09-14T00:00:00Z
No,0.6,No,260,0.56,3,high,marketing,4,No,2017-08-20T00:00:00Z
No,0.81,No,243,0.58,4,high,marketing,3,No,2016-08-12T00:00:00Z
No,0.95,No,154,0.59,4,high,sales,2,No,2016-01-26T00:00:00Z
No,0.98,No,201,0.8,2,high,sales,2,No,2018-08-07T00:00:00Z
No,0.52,No,234,0.8,3,high,sales,5,No,2017-06-12T00:00:00Z
No,0.19,No,225,0.83,4,low,sales,3,No,2016-01-12T00:00:00Z
No,0.94,No,229,0.87,3,low,sales,3,No,2017-08-03T00:00:00Z
No,0.58,No,132,0.43,3,low,sales,6,No,2017-06-18T00:00:00Z
No,0.92,No,180,0.69,3,low,sales,4,No,2017-03-22T00:00:00Z
No,0.65,No,164,0.8,4,low,sales,4,No,2016-06-15T00:00:00Z
No,0.74,No,175,0.74,3,low,sales,5,No,2017-07-22T00:00:00Z
No,0.6,No,103,0.53,2,low,sales,5,No,2018-02-14T00:00:00Z
No,1,No,142,1,4,low,sales,5,No,2016-04-26T00:00:00Z
No,0.81,No,212,0.96,3,low,sales,4,No,2017-11-26T00:00:00Z
No,0.18,No,140,0.81,4,low,sales,5,No,2016-04-15T00:00:00Z
No,0.82,No,149,0.88,2,low,sales,4,No,2018-09-12T00:00:00Z
No,0.9,No,258,0.96,2,low,sales,2,No,2018-02-26T00:00:00Z
No,0.62,No,136,0.62,2,medium,sales,4,No,2018-05-08T00:00:00Z
No,0.58,No,151,0.86,2,medium,accounting,3,No,2018-07-21T00:00:00Z
No,0.27,No,217,0.47,6,medium,accounting,5,No,2014-05-17T00:00:00Z
No,0.78,No,219,0.72,3,medium,hr,4,No,2017-09-27T00:00:00Z
No,0.98,No,150,0.66,3,medium,hr,3,No,2017-09-06T00:00:00Z
No,0.75,No,98,0.5,4,medium,hr,4,No,2016-02-11T00:00:00Z
No,0.74,No,140,0.67,3,medium,hr,5,No,2017-12-15T00:00:00Z
No,0.9,No,258,0.62,3,medium,technical,4,No,2017-04-01T00:00:00Z
No,0.9,No,260,0.74,4,high,technical,3,No,2016-05-13T00:00:00Z
No,0.64,No,198,0.93,2,high,technical,5,No,2018-01-08T00:00:00Z
No,0.87,No,219,0.89,4,high,technical,4,No,2016-02-04T00:00:00Z
No,0.6,No,204,0.55,3,high,technical,4,No,2017-07-19T00:00:00Z
No,0.7,No,157,0.74,3,high,technical,3,No,2017-07-21T00:00:00Z
No,0.15,No,244,0.94,6,high,technical,5,No,2014-11-23T00:00:00Z
No,0.45,No,122,0.75,3,high,support,3,No,2017-04-29T00:00:00Z
No,0.43,No,282,0.9,5,low,support,5,No,2015-04-28T00:00:00Z
No,0.92,No,195,0.46,5,low,support,5,No,2015-03-03T00:00:00Z
No,0.72,No,134,0.81,2,low,support,4,No,2018-01-31T00:00:00Z
No,0.94,No,210,0.84,2,low,support,3,No,2018-07-31T00:00:00Z
No,0.74,No,170,0.52,3,low,support,3,No,2017-05-18T00:00:00Z
No,0.53,No,150,0.86,3,low,support,3,No,2017-10-10T00:00:00Z
No,0.95,No,270,0.67,4,medium,support,4,No,2016-01-14T00:00:00Z
No,0.95,No,163,0.58,3,medium,technical,3,No,2017-10-14T00:00:00Z
No,0.7,No,188,0.85,2,medium,technical,3,No,2018-05-26T00:00:00Z
No,0.19,No,110,0.93,4,medium,technical,3,No,2016-06-18T00:00:00Z
No,0.74,No,135,0.91,3,medium,management,5,No,2017-07-05T00:00:00Z
No,0.54,No,228,0.59,3,medium,IT,4,No,2017-04-04T00:00:00Z
No,0.5,No,172,0.69,2,medium,IT,5,No,2018-07-04T00:00:00Z
No,0.95,No,168,0.72,5,medium,IT,3,No,2015-12-28T00:00:00Z
No,0.69,No,160,0.69,3,medium,IT,5,No,2017-10-24T00:00:00Z
No,0.24,No,282,0.74,3,medium,IT,5,No,2017-10-28T00:00:00Z
No,0.76,No,281,0.53,3,medium,product_mng,6,No,2017-07-10T00:00:00Z
No,0.61,No,245,0.64,2,medium,product_mng,3,No,2018-09-27T00:00:00Z
No,0.37,No,285,0.48,5,medium,IT,2,No,2015-09-05T00:00:00Z
No,0.81,No,165,0.9,3,medium,RandD,4,No,2017-04-25T00:00:00Z
No,0.59,No,146,0.9,3,medium,RandD,3,No,2017-05-14T00:00:00Z
No,0.73,No,133,0.82,3,medium,RandD,3,No,2017-06-01T00:00:00Z
No,0.87,No,181,0.57,6,medium,RandD,2,No,2014-11-08T00:00:00Z
No,0.67,No,152,0.66,3,medium,RandD,6,No,2017-05-30T00:00:00Z
No,0.96,No,284,0.78,3,medium,RandD,2,No,2017-02-10T00:00:00Z
No,0.98,No,157,0.51,3,medium,marketing,3,No,2017-06-20T00:00:00Z
No,0.5,No,165,0.58,2,high,sales,4,No,2018-09-03T00:00:00Z
No,0.13,No,194,0.65,4,medium,support,4,No,2016-06-16T00:00:00Z
No,0.57,No,102,0.68,6,medium,technical,3,No,2014-02-02T00:00:00Z
No,0.51,No,247,0.94,2,medium,management,4,No,2018-03-28T00:00:00Z
No,0.99,No,206,0.69,2,medium,marketing,3,No,2018-11-04T00:00:00Z
No,0.8,No,171,0.77,2,medium,marketing,3,No,2018-07-12T00:00:00Z
No,0.56,No,263,0.39,4,medium,marketing,5,No,2016-10-22T00:00:00Z
No,0.61,No,113,0.9,3,medium,sales,5,No,2017-04-27T00:00:00Z
No,0.18,No,140,0.6,4,low,sales,3,No,2016-10-26T00:00:00Z
No,0.24,No,178,0.77,5,low,sales,5,No,2015-01-18T00:00:00Z
No,0.86,No,153,0.48,3,low,sales,4,No,2017-10-17T00:00:00Z
No,0.25,No,271,0.62,5,low,sales,6,No,2015-10-24T00:00:00Z
No,0.25,No,269,0.82,5,low,sales,3,No,2015-12-26T00:00:00Z
No,0.63,No,160,0.55,3,low,sales,3,No,2017-02-01T00:00:00Z
No,0.87,No,251,0.82,3,high,sales,4,No,2017-07-30T00:00:00Z
No,0.87,No,170,0.78,2,low,sales,3,No,2018-06-17T00:00:00Z
No,0.98,No,152,0.87,2,high,sales,4,No,2018-03-08T00:00:00Z
No,0.16,No,262,0.51,6,low,sales,3,No,2014-05-25T00:00:00Z
No,0.83,No,273,0.68,2,low,sales,4,No,2018-12-24T00:00:00Z
No,0.65,No,233,0.77,2,high,sales,3,No,2018-09-10T00:00:00Z
No,0.95,No,262,0.64,3,low,sales,3,No,2017-04-26T00:00:00Z
No,0.67,No,183,0.67,3,medium,accounting,3,No,2017-01-25T00:00:00Z
No,0.74,No,132,0.94,3,medium,accounting,3,No,2017-02-16T00:00:00Z
No,0.77,No,200,0.79,4,medium,hr,3,No,2016-02-21T00:00:00Z
No,0.13,No,148,0.72,5,medium,hr,4,No,2015-12-14T00:00:00Z
No,0.88,No,224,0.65,2,high,hr,4,No,2018-07-21T00:00:00Z
No,0.89,No,147,0.5,2,medium,technical,4,No,2018-05-13T00:00:00Z
No,0.85,No,153,0.51,4,medium,technical,3,No,2016-10-25T00:00:00Z
No,0.93,No,154,0.87,2,medium,technical,5,No,2018-04-18T00:00:00Z
No,0.62,No,270,0.7,3,high,technical,5,No,2017-06-20T00:00:00Z
No,0.58,No,202,0.96,2,medium,technical,3,No,2018-12-31T00:00:00Z
No,0.98,No,264,0.5,3,high,technical,4,No,2017-04-08T00:00:00Z
No,0.52,No,145,0.45,3,low,technical,2,No,2017-08-14T00:00:00Z
No,0.73,No,238,0.91,2,medium,technical,3,No,2018-10-14T00:00:00Z
No,0.74,No,147,0.64,5,medium,technical,4,No,2015-03-17T00:00:00Z
